System,WebSite,Param1,Param2,KeySentence,Context,Formula,Condition
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,"Even on a modern Linux system, the stock kernel will likely not allow setting shared_buffers to over 32MB without adjusting kernel settings first.",,P1 < 32MB,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,"If you have a system with 1GB or more of RAM, a reasonable starting value for shared_buffers is 1/4 of the memory in your system.",,P1 = 0.25 * memory,Memory >= 1GB
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,If you have less RAM you'll have to account more carefully for how much RAM the OS is taking up; closer to 15% is more typical there.,"If you have a system with 1GB or more of RAM, a reasonable starting value for shared_buffers is 1/4 of the memory in your system.",P1 = 0.15 * memory,Memory < 1GB
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,"There are some workloads where even larger settings for shared_buffers are effective, but given the way PostgreSQL also relies on the operating system cache, it's unlikely you'll find using more than 40% of RAM to work better than a smaller amount.",,P1 < 0.4 * memory,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,"Be aware that if your system or PostgreSQL build is 32-bit, it might not be practical to set shared_buffers above 2 ~ 2.5GB.",,P1 < 2.5GB,Bits = 32
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,shared_buffers,,On Windows the useful range is 64MB to 512MB.,"Note that on Windows, large values for shared_buffers aren't as effective, and you may find better results keeping it relatively low and using the OS cache more instead.",P1 < 512MB,OS = Windows
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,effective_cache_size,,"Setting effective_cache_size to 1/2 of total memory would be a normal conservative setting, and 3/4 of memory is a more aggressive but still reasonable amount.",,0.5 * memory <= P1 <= 0.75 * memory,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,checkpoint_segments,,"Unless you're running on a very small configuration, you'll almost certainly be better setting this to at least 10, which also allows usefully increasing the completion target.",Setting checkpoint_segments to a much larger value improves that.,P >= 10,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,checkpoint_segments,,"For more write-heavy systems, values from 32 (checkpoint every 512MB) to 256 (every 4GB) are popular nowadays.",Setting checkpoint_segments to a much larger value improves that.,32 <= P1 <= 256,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,checkpoint_segments,,Normally the large settings (>64/1GB) are only used for bulk loading.,Setting checkpoint_segments to a much larger value improves that.,P <= 64,Not bulkloading
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,checkpoint_completion_target,,"You can spread those writes out further, lowering the average write overhead, by increasing the checkpoint_completion_target parameter to its useful maximum of 0.9 (aim to finish by the time 90% of the next checkpoint is here) rather than the default of 0.5 (aim to finish when the next one is 50% done).",,P = 0.9,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,checkpoint_completion_target,,A setting of 0 gives something similar to the behavior of obsolete versions. ,,P > 0,
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,autovacuum,,"However, it's acceptable to disable autovacuum for short periods of time, for instance when bulk loading large amounts of data.",,P = off,Bulk loading
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,log_statement,,Using all or mod in production would introduce overhead of the logging.,log_statement,"P != all, P != mod",
Postgres,https://wiki.postgresql.org/wiki/Tuning_Your_PostgreSQL_Server,synchronous_commit,,Turning the synchronous_commit to off would cause a more severe performance regression.,,P != off,
