Query	Run1ms	Run2ms	Run1s	Run2s
1	15151	14939	15.151	14.939
2	197	187	0.197	0.187
3	7255	7215	7.255	7.215
4	1506	1457	1.506	1.457
5	5638	5677	5.638	5.677
6	3079	3080	3.079	3.080
7	2476	2496	2.476	2.496
8	10970	11095	10.970	11.095
9	11658	11696	11.658	11.696
10	2414	2367	2.414	2.367
11	870	870	0.870	0.870
12	3802	3850	3.802	3.850
13	21348	20899	21.348	20.899
14	3967	4055	3.967	4.055
15	6287	6358	6.287	6.358
16	699	711	0.699	0.711
17	91122	90439	91.122	90.439
18	3939	4078	3.939	4.078
19	357	356	0.357	0.356
20	93533	93145	93.533	93.145
21	21893	21900	21.893	21.900
22	340	329	0.340	0.329
