Query	Run1ms	Run2ms	Run1s	Run2s
1	15445	13792	15.445	13.792
2	170.000	146	0.170	0.146
3	2063	1144	2.063	1.144
4	768	708	0.768	0.708
5	1027	891	1.027	0.891
6	2114	2173	2.114	2.173
7	1032	723	1.032	0.723
8	2881	2666	2.881	2.666
9	3232	3000.000	3.232	3.000
10	1193	1110.000	1.193	1.110
11	352	238	0.352	0.238
12	2691	2645	2.691	2.645
13	2806	2691	2.806	2.691
14	2366	2369	2.366	2.369
15	4437	4397	4.437	4.397
16	340.000	322	0.340	0.322
17	12826	12661	12.826	12.661
18	2769	2781	2.769	2.781
19	128	131	0.128	0.131
20	12561	12421	12.561	12.421
21	14893	14713	14.893	14.713
22	195	189	0.195	0.189
