Query	Run1ms	Run2ms	Run1s	Run2s
1	14007	14026	14.007	14.026
2	134	129	0.134	0.129
3	1201	1174	1.201	1.174
4	718	712	0.718	0.712
5	891	919	0.891	0.919
6	2181	2173	2.181	2.173
7	748	724	0.748	0.724
8	2760.000	2759	2.760	2.759
9	4024	3880.000	4.024	3.880
10	1162	1164	1.162	1.164
11	259	256	0.259	0.256
12	2747	2720.000	2.747	2.720
13	2874	2780.000	2.874	2.780
14	2387	2337	2.387	2.337
15	4524	4419	4.524	4.419
16	349	329	0.349	0.329
17	17875	17643	17.875	17.643
18	2782	2742	2.782	2.742
19	149	150.000	0.149	0.150
20	14900.000	15049	14.900	15.049
21	19679	20309	19.679	20.309
22	185	187	0.185	0.187
