dbms,filenr,sentence,KeySentence,Context,Parameter,Formula,Condition
pg,1,Performance Optimization - PostgreSQL wiki,,,,,
pg,1,"Want to edit, but don't see an edit button when logged in?",,,,,
pg,1,Click here,,,,,
pg,1,,,,,,
pg,1,Performance Optimization,,,,,
pg,1,From PostgreSQL wiki,,,,,
pg,1,"Jump to: navigation, search",,,,,
pg,1,Contents,,,,,
pg,1,1 How to Effectively Ask Questions Regarding Performance on Postgres Lists,,,,,
pg,1,2 General Setup and Optimization,,,,,
pg,1,3 Critical maintenance for performance,,,,,
pg,1,4 Database architecture,,,,,
pg,1,5 Database Hardware Selection and Setup,,,,,
pg,1,6 Benchmark Workloads,,,,,
pg,1,How to Effectively Ask Questions Regarding Performance on Postgres Lists,,,,,
pg,1,Slow_Query_Questions,,,,,
pg,1,General Setup and Optimization,,,,,
pg,1,"Tuning Your PostgreSQL Server by Greg Smith, Robert Treat, and Christopher Browne",,,,,
pg,1,PostgreSQL Query Profiler in dbForge Studio by Devart,,,,,
pg,1,Performance Tuning PostgreSQL by Frank Wiles,,,,,
pg,1,QuickStart Guide to Tuning,,,,,
pg,1,PostgreSQL by Christopher Browne,,,,,
pg,1,Performance Tuning by Josh Berkus and Shridhar Daithankar,,,,,
pg,1,Replacing Slow Loops in PostgreSQL by Joel Burton,,,,,
pg,1,PostgreSQL Hardware Performance Tuning by Bruce Momjian,,,,,
pg,1,The effects of data fragmentation in a mixed load database by Dmitry Dvoinikov,,,,,
pg,1,Understanding Postgres Performance by Craig Kerstiens,,,,,
pg,1,More on Postgres Performance by Craig Kerstiens,,,,,
pg,1,Faster PostgreSQL counting by Joe Nelson,,,,,
pg,1,Row count estimates in Postgres by David Conlin,,,,,
pg,1,Index-only scans in Postgres by David Conlin,,,,,
pg,1,Optimize PostgreSQL Server Performance Through Configuration by Tom Swartz,,,,,
pg,1,Performance courses are available from a number of companies,,,,,
pg,1,Check events and trainings for further details,,,,,
pg,1,,,,,,
pg,1,Critical maintenance for performance,,,,,
pg,1,"Introduction to VACUUM, ANALYZE, EXPLAIN, and COUNT by Jim Nasby",,,,,
pg,1,,,,,,
pg,1,VACUUM FULL and why you should avoid it,,,,,
pg,1,Planner Statistics,,,,,
pg,1,Using EXPLAIN,,,,,
pg,1,Logging Difficult Queries,,,,,
pg,1,Logging Checkpoints,,,,,
pg,1,Bulk Loading and Restores,,,,,
pg,1,Performance Analysis Tools by Craig Ringer,,,,,
pg,1,Database architecture,,,,,
pg,1,Limiting and prioritizing user/query/database resource usage by Craig Ringer,,,,,
pg,1,Prioritizing databases by separating into multiple clusters by Craig Ringer,,,,,
pg,1,Clustering,,,,,
pg,1,Shared Storage,,,,,
pg,1,Database Hardware Selection and Setup,,,,,
pg,1,Database Hardware,,,,,
pg,1,Reliable Writes,,,,,
pg,1,Benchmark Workloads,,,,,
pg,1,Category:Benchmarking,,,,,
pg,1,"Retrieved from ""https://wiki",,,,,
pg,1,postgresql,,,,,
pg,1,org/index,,,,,
pg,1,"php?title=Performance_Optimization&oldid=35388""",,,,,
pg,1,Categories: AdministrationPerformanceBenchmarkingGeneral articles and guides,,,,,
pg,1,Navigation menu,,,,,
pg,1,Views,,,,,
pg,1,Page,,,,,
pg,1,Discussion,,,,,
pg,1,View source,,,,,
pg,1,History,,,,,
pg,1,Personal tools,,,,,
pg,1,Log in,,,,,
pg,1,Navigation,,,,,
pg,1,Main Page,,,,,
pg,1,Random page,,,,,
pg,1,Recent changes,,,,,
pg,1,Help,,,,,
pg,1,Search,,,,,
pg,1,Tools,,,,,
pg,1,What links here,,,,,
pg,1,Related changes,,,,,
pg,1,Special pages,,,,,
pg,1,Printable version,,,,,
pg,1,Permanent link,,,,,
pg,1,Page information,,,,,
pg,1,"This page was last edited on 29 September 2020, at 13:37",,,,,
pg,1,,,,,,
pg,1,Privacy policy,,,,,
pg,1,About PostgreSQL wiki,,,,,
pg,1,Disclaimers,,,,,
pg,2,Tuning Your PostgreSQL Server - PostgreSQL wiki,,,,,
pg,2,"Want to edit, but don't see an edit button when logged in?",,,,,
pg,2,Click here,,,,,
pg,2,,,,,,
pg,2,Tuning Your PostgreSQL Server,,,,,
pg,2,From PostgreSQL wiki,,,,,
pg,2,"Jump to: navigation, search",,,,,
pg,2,"by Greg Smith, Robert Treat, and Christopher Browne",,,,,
pg,2,PostgreSQL ships with a basic configuration tuned for wide compatibility rather than performance,,,,,
pg,2,Odds are good the default parameters are very undersized for your system,,,,,
pg,2,"Rather than get dragged into the details of everything you should eventually know (which you can find if you want it at the GUC Three Hour Tour), here we're going to sprint through a simplified view of the basics, with a look at the most common things people new to PostgreSQL aren't aware of",,,,,
pg,2,,,,,,
pg,2,You should click on the name of the parameter in each section to jump to the relevant documentation in the PostgreSQL manual for more details after reading the quick intro here,,,,,
pg,2,,,,,,
pg,2,"There is also additional information available about many of these parameters, as well as a list of parameters you shouldn't adjust, at Server Configuration Tuning",,,,,
pg,2,,,,,,
pg,2,Background Information on Configuration Settings,,,,,
pg,2,"PostgreSQL settings can be manipulated a number of different ways, but generally you will want them changed in your configuration files, either directly or, starting with PostgreSQL 9.4, through ALTER SYSTEM",,,,,
pg,2,"The specific options available change from release to release, the definitive list is in the source code at src/backend/utils/misc/guc",,,,,
pg,2,c for your version of PostgreSQL (but the pg_settings view works well enough for most purposes),,,,,
pg,2,,,,,,
pg,2,The types of settings,,,,,
pg,2,"There are several different types of configuration settings, divided up based on the possible inputs they take",,,,,
pg,2,"Boolean: true, false, on, off",,,,,
pg,2,Integer: Whole numbers,,,,,
pg,2,-2112,,,,,
pg,2,Float: Decimal values (21.12),,,,,
pg,2,"Memory / Disk: Integers (2112) or ""computer units"" (512MB, 2112GB)",,,,,
pg,2,,,,,,
pg,2,Avoid integers--you need to know the underlying unit to figure out what they mean,,,,,
pg,2,,,,,,
pg,2,"Time: ""Time units"" aka d,m,s (30s)",,,,,
pg,2,,,,,,
